Word,Count
'alexa',1
1,1
10,1
12,1
2,1
20,1
3gen,1
3rd,8
4,1
4th,9
5,2
5feet,1
ability,1
absolute,1
absolutely,2
accent,2
access,1
accounts,4
acknowledges,1
adaper,1
adapter,1
add,2
adjusting,1
again,1
ahead,1
air,1
alarm,1
alarms,1
alexa,24
all,4
allow,1
already,2
always,2
amazing,1
amazon,12
amount,1
another,3
answers,2
anticipated,1
anything,2
apartment,1
apologize,1
app,3
apple,4
area,1
around,1
arrive,1
ask,3
asked,2
assistant,5
attractive,1
audio,1
available,1
away,1
awesome,1
baby,1
back,5
barely,1
basic,1
basically,1
bass,3
bathroom,1
because,3
bedroom,3
been,3
before,1
begun,1
being,1
believe,2
beside,1
better,10
between,2
beyond,1
bit,2
black,1
blue,5
blutooth,1
bose,1
both,3
bottom,1
bought,5
boy,1
brings,1
bugs,1
built,1
bulb,5
buy,3
buying,1
ca,1
call,1
calling,1
calls,1
can't,4
canada,2
cant,1
card,1
careful,1
certainly,1
chalk,1
change,3
changer,1
charge,1
chat,2
checking,2
choose,1
choosing,2
chores,1
cisco,1
cleaning,1
clear,1
client,1
clock,2
close,1
closed,1
collect,1
command,2
commands,7
compact,1
conditioning,1
connect,2
connected,3
connection,2
consider,1
contacted,1
continues,1
control,1
controlling,1
cook,1
cooking,2
cord,2
cost,1
costs,1
could,4
couldn,1
couple,2
crappy,1
creating,1
credit,1
currently,1
damaged,1
day,5
days,2
deceive,1
deeper,1
delivery,2
despite,2
device,2
devices,3
didn,2
didn't,2
difference,2
different,5
disappointed,1
disappointment,1
distance,1
doesn,1
doesn't,1
don't,5
dont,1
door,1
doors,1
dot,18
dots,2
downstairs,1
drive,1
during,1
easier,2
easily,1
easy,5
echo,23
ecobee,1
edit,1
elderly,1
element,1
email,2
emailed,2
encourage,1
end,1
equipment,1
especially,1
etc,2
even,7
everbody,1
every,2
everyone,1
everything,2
everytime,1
example,1
excited,1
excuse,1
exist,1
expanded,1
expectations,1
expected,2
expecting,1
experience,2
extinguish,1
fact,1
fantastic,1
far,2
fast,2
faster,3
features,3
feel,1
female,2
few,3
fight,1
